,,ncr,car,r1,r2,r3,r4a,r4b,r5,r6,r7,r8,r9,r10,r11,r12,r13,armm
1994,Jan,38.6,39.6,40,39.6,39,37.4,40.3,35.7,40.3,37.1,37.4,35.9,34.2,37.4,39.9,35.3,31.4
1994,Feb,39.2,40.2,40.1,39.6,39.3,37.9,40.5,36,40.3,37.6,37.9,36.4,34.6,37.7,40.1,36,31.6
1994,Mar,39.1,40.2,39.9,39.3,39.6,37.8,40.2,36,40.3,37.4,37.9,36.4,34.5,37.4,40.2,35.7,31.5
1994,Apr,39.2,40.7,40,39.4,39.8,38,40.2,36,40.3,37.4,38.1,36.4,34.6,37.6,40.4,35.7,31.5
1994,May,39.4,41.1,40.4,39.6,40,38,40.4,36.2,40.8,37.5,38.1,36.6,34.8,37.7,40.5,35.8,31.7
1994,Jun,39.5,41.1,40.6,39.9,40.3,38.3,40.5,36.3,40.9,37.8,38.4,37.2,35,37.7,40.7,36,31.8
1994,Jul,39.7,41.5,40.8,40.2,40.5,38.4,40.7,36.7,41.1,38.1,38.7,37.5,35.1,38.2,41.3,36.2,31.9
1994,Aug,40,41.8,41.3,40.2,40.9,38.8,41.1,36.9,41.2,38.3,39,38.2,35.4,38.2,41.6,36.4,32.3
1994,Sep,39.9,42.2,41.4,40.5,40.8,38.9,41.3,36.9,41.3,38.3,39.2,38.4,35.5,38.3,41.8,36.6,32.5
1994,Oct,39.9,42.1,41.4,40.4,40.8,38.9,41.2,37,41.5,38.4,39.3,38.3,35.6,38.5,41.9,36.6,32.6
1994,Nov,39.7,42,41.5,40.5,40.8,39,41.3,37.1,41.5,38.4,39.3,38.4,35.7,38.6,41.9,36.6,32.6
1994,Dec,39.9,42,41.3,40.5,40.9,39.1,41.4,37.5,41.5,38.5,39.4,38.3,35.8,38.8,42,36.7,32.6
1995,Jan,40.7,42.1,42.4,40.9,41.5,39.8,41.9,38.2,42.3,39.4,40,39.8,37.3,39.1,42.6,37.1,33.5
