,,ALL,FD,BRD_CRL,RICE,MEAT,FISH,FRUIT,VEG
1994,Jan,38.6,41.5,36.7,39.5,49.2,43.3,32.2,45.7
1994,Feb,39.2,40.8,36.8,39.7,49.5,41.9,32.2,38.5
1994,Mar,39.1,40.6,36.9,39.8,49.8,39.9,32.9,37.7
1994,Apr,39.2,40.6,36.9,39.7,50.1,39.9,33.8,37.1
1994,May,39.4,41.1,37,39.9,50.5,40.3,34.8,39.1
1994,Jun,39.5,41.2,37,39.9,50.6,40.2,34.1,39.9
1994,Jul,39.7,41.5,37.5,40.7,50.6,40.1,33.2,42.5
1994,Aug,40,42,37.8,41.1,50.6,40.1,33.9,45.4
1994,Sep,39.9,41.8,37.9,41.2,50.6,40.2,33.6,44.3
1994,Oct,39.9,41.8,37.9,41.2,50.6,40,33.4,43.7
1994,Nov,39.7,41.8,37.9,41.1,50.7,40.9,33.4,42.8
1994,Dec,39.9,41.6,37.2,40.1,50.9,42.3,33.5,39.5
1995,Jan,40.7,43,38.3,40.9,52.4,44.3,35.6,41.2
1995,Feb,41,42.8,38.3,40.9,52.4,44.3,35.9,38.3
1995,Mar,41.2,42.3,38.3,40.9,52.4,42.8,35.9,36.1
1995,Apr,41.6,42.6,38.4,41.1,52.4,43.3,35.6,37.7
1995,May,42.3,43.6,39.8,43.2,52.4,43.4,35.3,44
1995,Jun,42.3,43.9,40.2,43.8,52.4,42.3,38.1,45.7
1995,Jul,42.2,43.8,40.6,44.3,52.3,42.3,37.3,42.9
1995,Aug,42.7,45.2,45.4,51.9,52.2,42.5,37.1,42.3
1995,Sep,43.2,46.1,48.4,56.8,52.1,42.1,36.8,43.4
1995,Oct,43.6,47.9,52.4,63,52.1,41.8,37.2,51.1
1995,Nov,43.3,46.7,46.5,53.7,52.3,41.9,37.4,55.7
1995,Dec,43.3,46.7,45.5,52.1,52.7,43.6,37.7,54.6
1996,Jan,44.5,48.3,48.5,56.2,54.3,46.3,38.7,53.1
1996,Feb,44.9,48.2,48.8,56.7,53.7,48.8,39.6,47.2
1996,Mar,45,48.3,49.2,57.4,53.9,49,40.2,45.4
1996,Apr,45.5,48.6,49.6,57.9,54.6,48.8,41.1,45
1996,May,45.6,48.8,49.4,57.7,55.2,48.2,43.5,45.2
1996,Jun,45.8,49.1,49.5,57.6,55.8,47.4,44.0,47.7
1996,Jul,45.8,49,49.5,57.4,56.1,47.3,42.3,46.3
1996,Aug,46.3,50.4,49.6,57.7,55.5,48.1,43.0,60
1996,Sep,46.2,50,49.7,57.8,55.5,47.5,45.5,53.2
1996,Oct,46.5,50.3,49.9,58,55.7,47.7,47.9,53.9
1996,Nov,46.5,49.9,48.5,55.8,55.5,47.8,47.7,56.4
1996,Dec,46.9,50.6,49.2,56.9,56.2,49.4,47.7,58.3
1997,Jan,47.4,50.4,49.6,57.3,56.7,49.7,47.7,53
1997,Feb,47.7,50.3,49.3,56.8,56.9,49.7,49.7,50.5
1997,Mar,48,51,49.7,57.4,57.1,51,50.0,51.8
1997,Apr,48.2,51,50,57.8,57.3,50.4,49.4,47.8
1997,May,48.3,51.4,49.5,57,58,50.4,48.0,50.3
1997,Jun,48.9,52.4,50.4,57.4,58.4,52.3,45.0,55.4
1997,Jul,49,52.2,50.9,58.1,58.1,51.6,45.1,53.2
1997,Aug,49,51.8,51.1,58.2,57.6,50.8,45.7,52.3
1997,Sep,49.1,52,50.9,58.7,57.4,50.9,44.6,55.7
1997,Oct,49.4,52.2,51.3,59.4,57.4,52.7,44.1,56
1997,Nov,49.7,52.2,51.7,59.6,57.9,52.7,44.1,54
1997,Dec,50.2,52.8,51.1,58.4,59,56.1,44.3,54.4
1998,Jan,51.2,52.7,51.1,57.2,58.6,56,44.3,53.2
1998,Feb,51.9,53,51.5,57.4,58.7,56.3,42.4,53.2
1998,Mar,52.6,53.7,51.8,57.6,59.6,55.7,44.6,55.8
1998,Apr,52.8,54.8,52,57.6,60.3,57.4,44.2,60.7
1998,May,54,57.6,52.6,58.2,63.7,60.5,53.7,69.6
1998,Jun,54.4,58.3,52.6,58,64,59.8,51.3,78
1998,Jul,54.2,57.1,52.8,58.4,61.4,58,49.4,71.6
1998,Aug,54.3,56.5,52.6,58.2,61.1,58.9,50.2,63.5
1998,Sep,54.5,56.8,53.2,59,61.4,58.9,50.1,63.2
1998,Oct,54.7,57.6,52.6,57.9,60.4,58.1,51.8,75.7
1998,Nov,55.5,59.2,53.2,58.7,60.8,58.6,52.0,91.3
1998,Dec,55.5,59.1,52.6,57.8,62.1,59.7,52.2,91.3
1999,Jan,56.1,61.5,52.2,57.8,64.1,65.1,72.7,90.7
1999,Feb,55.9,60.5,53,58.3,63,65.4,69.5,78
1999,Mar,55.9,59.3,53.5,58.9,62.7,65.9,67.4,63.8
1999,Apr,55.9,58.8,53.3,58.4,61.7,63.9,72.2,62.3
1999,May,55.8,58.3,53.2,58,61.9,58.4,74.5,63.1
1999,Jun,56.1,58.2,53.3,58.5,61.9,59.4,66.4,66.1
1999,Jul,56,57.5,52.9,58.2,61,60.3,63.0,63.2
1999,Aug,56.2,57.9,53.2,58.5,60.4,58.8,64.5,71.7
1999,Sep,56.5,58.5,53.4,58.7,60.7,60.7,66.6,72.7
1999,Oct,56.7,58.2,53,57.6,60.5,60.4,66.7,72.5
1999,Nov,56.8,58,53.2,57.9,60.3,60.4,67.3,70.4
1999,Dec,56.8,58,53.1,58,60.3,62.2,65.5,68.5
2000,Jan,59.4,59,52.5,55.7,60,68,73.5,69.7
2000,Feb,59.6,59.1,54.4,58.7,59.2,70.1,71.0,66.2
2000,Mar,59.2,58.9,53.3,56.8,59.1,73.4,67.1,64.8
2000,Apr,59.4,59.1,53.5,57.1,59.4,72.6,67.3,66.5
2000,May,59.8,60.3,54.6,58.8,60.2,73.1,72.7,69.2
2000,Jun,59.9,59.4,54.4,58.7,60.3,69.6,68.4,68.5
2000,Jul,60.2,59.7,54.3,58.4,60.3,68.1,68.8,74.6
2000,Aug,60.5,59.8,54.8,59,60.4,69.4,68.4,72.1
2000,Sep,60.6,59.5,54.2,57.2,60.7,70.7,64.3,71.2
2000,Oct,60.9,59.8,54.6,57.1,60.7,70.8,64.4,71
2000,Nov,62,62.8,54.8,57,61.3,72.8,67.6,94.9
2000,Dec,62.2,62.5,54.8,57,62.6,74.7,66.7,84.9
